MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1,Duration_min,Start_Date,End_Date,Start_Date_dt,End_Date_dt
37932,Quanzhi Gaoshou 2,8.03,"Action, Game",The King's Avatar 2,全职高手2,ONA,12,"Sep 25, 2020 to Dec 4, 2020",Unknown,Tencent Penguin Pictures,Unknown,"B.CMAY PICTURES, Colored-Pencil Animation Design",Novel,26 min. per ep.,PG-13 - Teens 13 or older,496.0,1744,74629,554,9306,21522,883,577,42341,2349.0,3754.0,6474.0,3738.0,1056.0,317.0,122.0,41.0,18.0,35.0,26.0,"Sep 25, 2020","Dec 4, 2020",2020-09-25,2020-12-04
37936,Wu Shan Wu Xing,8.0,"Action, Historical, Martial Arts, Fantasy",Fog Hill of Five Elements,雾山五行,ONA,3,"Jul 26, 2020 to Aug 9, 2020",Unknown,bilibili,Unknown,"Nice Boat Animation, Samsara Animation Studio",Original,28 min. per ep.,R - 17+ (violence & profanity),538.0,3510,21772,154,2166,7195,327,193,11891,858.0,1348.0,2125.0,1181.0,356.0,143.0,51.0,24.0,6.0,13.0,28.0,"Jul 26, 2020","Aug 9, 2020",2020-07-26,2020-08-09
37962,IDOLiSH7: Second Beat!,8.15,Music,Unknown,アイドリッシュセブン Second BEAT!,TV,15,"Apr 5, 2020 to Dec 27, 2020",Spring 2020,"Bandai Visual, Lantis, Bandai Namco Games",Unknown,TROYCA,Game,24 min. per ep.,PG-13 - Teens 13 or older,359.0,4141,15156,235,3230,3318,647,424,7537,874.0,735.0,947.0,606.0,247.0,131.0,58.0,32.0,14.0,28.0,24.0,"Apr 5, 2020","Dec 27, 2020",2020-04-05,2020-12-27
37987,Violet Evergarden Movie,8.65,"Slice of Life, Drama, Fantasy",Unknown,劇場版 ヴァイオレット・エヴァーガーデン,Movie,1,"Sep 18, 2020",Unknown,Shochiku,Unknown,Kyoto Animation,Light novel,2 hr. 20 min.,PG-13 - Teens 13 or older,55.0,779,189859,961,4210,21244,1806,270,162329,5413.0,4527.0,3897.0,1839.0,516.0,192.0,61.0,26.0,17.0,99.0,140.0,"Sep 18, 2020","Sep 18, 2020",2020-09-18,2020-09-18
38005,Strike Witches: Road to Berlin,7.32,"Action, Military, Sci-Fi, Magic, Ecchi",Unknown,第501統合戦闘航空団 ストライクウィッチーズ ROAD to BERLIN,TV,12,"Oct 8, 2020 to Dec 24, 2020",Fall 2020,"Magic Capsule, Nippon Columbia, Kadokawa",Funimation,David Production,Original,23 min. per ep.,PG-13 - Teens 13 or older,2273.0,4126,15278,49,1661,3929,261,485,8942,325.0,357.0,834.0,1007.0,482.0,228.0,76.0,41.0,27.0,37.0,23.0,"Oct 8, 2020","Dec 24, 2020",2020-10-08,2020-12-24
38085,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,6.8,"Action, Supernatural, Magic, Fantasy",Unknown,劇場版Fate/Grand Order -神聖円卓領域キャメロット- Wandering; Agateram,Movie,1,"Dec 5, 2020",Unknown,"Production I.G, Aniplex",Unknown,Signal.MD,Game,1 hr. 29 min.,Unknown,4426.0,2641,37169,76,534,394,339,64,35838,109.0,30.0,58.0,76.0,42.0,12.0,6.0,5.0,1.0,4.0,89.0,"Dec 5, 2020","Dec 5, 2020",2020-12-05,2020-12-05
38088,Digimon Adventure: Last Evolution Kizuna,8.19,"Action, Adventure, Comedy, Drama",Unknown,デジモンアドベンチャー LAST EVOLUTION 絆,Movie,1,"Feb 21, 2020",Unknown,Toei Animation,Unknown,Yumeta Company,Original,1 hr. 34 min.,PG-13 - Teens 13 or older,316.0,3329,24347,151,669,9003,221,149,14305,1365.0,1660.0,2077.0,1148.0,400.0,152.0,48.0,31.0,11.0,22.0,94.0,"Feb 21, 2020","Feb 21, 2020",2020-02-21,2020-02-21
38256,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV),6.77,"Psychological, Drama, Magic, Thriller",Magia Record:Puella Magi Madoka Magica Side Story,マギアレコード 魔法少女まどか☆マギカ外伝 (TV),TV,13,"Jan 5, 2020 to Mar 29, 2020",Winter 2020,"Aniplex, Houbunsha, f4samurai",Aniplex of America,Shaft,Game,23 min. per ep.,PG-13 - Teens 13 or older,4604.0,1324,107415,1000,12508,37592,4532,7969,44814,2955.0,2189.0,5750.0,9656.0,7397.0,3918.0,1949.0,796.0,325.0,225.0,23.0,"Jan 5, 2020","Mar 29, 2020",2020-01-05,2020-03-29
38302,Boku no Tonari ni Ankoku Hakaishin ga Imasu.,6.64,"Slice of Life, Comedy, School, Josei",Unknown,ぼくのとなりに暗黒破壊神がいます。,TV,12,"Jan 11, 2020 to Mar 28, 2020",Winter 2020,"Toei Video, AT-X, Being, Yomiuri TV Enterprise, Kadokawa, JY Animation, Crunchyroll SC Anime Fund, MAGNET, Video Market",Unknown,EMT Squared,Manga,23 min. per ep.,PG-13 - Teens 13 or older,5161.0,2638,37227,160,3837,13437,1456,4756,13741,695.0,789.0,1885.0,3386.0,2801.0,1849.0,894.0,401.0,231.0,149.0,23.0,"Jan 11, 2020","Mar 28, 2020",2020-01-11,2020-03-28
38337,Gochuumon wa Usagi Desu ka? Bloom,7.98,"Slice of Life, Comedy",Is the Order a Rabbit? Bloom,ご注文はうさぎですか? BLOOM,TV,12,"Oct 10, 2020 to Dec 26, 2020",Fall 2020,Unknown,Sentai Filmworks,Encourage Films,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,558.0,2741,34740,288,4809,10351,700,591,18289,1586.0,1663.0,3134.0,2066.0,728.0,278.0,79.0,30.0,12.0,24.0,24.0,"Oct 10, 2020","Dec 26, 2020",2020-10-10,2020-12-26
38416,Dixia Cheng Yu Yongshi: Nizhuan Zhi Lun,,"Action, Adventure, Comedy, Fantasy",Unknown,地下城与勇士·逆转之轮,ONA,16,"Apr 23, 2020 to Jul 30, 2020",Unknown,"Tencent Animation & Comics, Tencent Games, Friendly Land, Stray Cats",Unknown,LIDENFILMS,Game,24 min. per ep.,Unknown,13822.0,10727,899,3,139,12,32,43,673,3.0,5.0,4.0,10.0,8.0,11.0,1.0,1.0,2.0,5.0,24.0,"Apr 23, 2020","Jul 30, 2020",2020-04-23,2020-07-30
38476,Heya Camp△,7.19,"Slice of Life, Comedy",Room Camp,へやキャン△,TV,12,"Jan 6, 2020 to Mar 23, 2020",Winter 2020,"Sotsu, AT-X, KlockWorx, Houbunsha, MAGES., BS11, DeNA, FuRyu",Unknown,C-Station,Manga,3 min. per ep.,PG-13 - Teens 13 or older,2824.0,1908,65066,95,5762,32967,1544,1863,22930,1745.0,2148.0,5941.0,10264.0,4523.0,1655.0,345.0,121.0,58.0,59.0,3.0,"Jan 6, 2020","Mar 23, 2020",2020-01-06,2020-03-23
38481,Toaru Kagaku no Railgun T,8.25,"Action, Sci-Fi, Super Power",A Certain Scientific Railgun T,とある科学の超電磁砲[レールガン]T,TV,25,"Jan 10, 2020 to Sep 25, 2020",Winter 2020,"Square Enix, Movic, AT-X, Warner Bros. Japan, NBCUniversal Entertainment Japan, Kadokawa",Funimation,J.C.Staff,Manga,24 min. per ep.,R - 17+ (violence & profanity),263.0,1061,140037,6045,24344,47791,4018,2014,61870,9313.0,11914.0,15814.0,7471.0,2009.0,706.0,218.0,96.0,38.0,72.0,24.0,"Jan 10, 2020","Sep 25, 2020",2020-01-10,2020-09-25
38536,Hitori no Shita: The Outcast 3rd Season,6.82,"Action, Mystery, Super Power, Psychological, Supernatural, Drama, Martial Arts",The Outcast 3rd Season,一人之下3 入世篇,ONA,8,"Apr 24, 2020 to May 8, 2020",Unknown,Unknown,Unknown,BigFireBird Animation,Manga,23 min. per ep.,R - 17+ (violence & profanity),4346.0,3725,19458,80,1953,3448,461,281,13315,227.0,210.0,454.0,793.0,593.0,245.0,104.0,24.0,22.0,26.0,23.0,"Apr 24, 2020","May 8, 2020",2020-04-24,2020-05-08
38555,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,7.49,"Comedy, Drama, Romance, Fantasy, School",My Next Life as a Villainess:All Routes Lead to Doom!,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,TV,12,"Apr 5, 2020 to Jun 21, 2020",Spring 2020,"Mainichi Broadcasting System, Asmik Ace, King Records, Ichijinsha, Nichion",Unknown,SILVER LINK.,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,1588.0,617,238610,1787,29570,144162,5369,7770,51739,8949.0,16702.0,37589.0,38269.0,15270.0,5797.0,1972.0,657.0,280.0,214.0,24.0,"Apr 5, 2020","Jun 21, 2020",2020-04-05,2020-06-21
38656,Darwin's Game,7.3,"Action, Sci-Fi, Mystery, Super Power, Shounen",Darwin's Game,ダーウィンズゲーム,TV,11,"Jan 4, 2020 to Mar 21, 2020",Winter 2020,"Aniplex, AT-X, Tokyo MX, Akita Shoten, BS11, Kanetsu Investment, CA-Cygames Anime Fund, Hochi Shimbun, ADK",Aniplex of America,Nexus,Manga,26 min. per ep.,R - 17+ (violence & profanity),2323.0,467,305455,1627,31083,184837,6672,15145,67718,10796.0,19486.0,41964.0,45526.0,21183.0,10014.0,4869.0,2304.0,1110.0,677.0,26.0,"Jan 4, 2020","Mar 21, 2020",2020-01-04,2020-03-21
38663,Mushikago no Cagaster,6.57,"Action, Sci-Fi, Drama",Cagaster of an Insect Cage,虫籠のカガステル,ONA,12,"Feb 6, 2020",Unknown,Unknown,Netflix,Studio Kai,Manga,28 min. per ep.,Unknown,5547.0,3534,21535,51,1545,11150,491,1191,7158,364.0,502.0,1341.0,2644.0,2121.0,1091.0,555.0,249.0,128.0,127.0,28.0,"Feb 6, 2020","Feb 6, 2020",2020-02-06,2020-02-06
38668,Dorohedoro,8.1,"Action, Comedy, Horror, Magic, Fantasy, Seinen",Unknown,ドロヘドロ,TV,12,"Jan 13, 2020 to Mar 30, 2020",Winter 2020,"Shogakukan-Shueisha Productions, Mainichi Broadcasting System, Movic, TOHO animation, BS11, Shogakukan, Sumitomo, RAY, Pia",Netflix,MAPPA,Manga,23 min. per ep.,R - 17+ (violence & profanity),410.0,550,268894,3648,24155,149999,6446,6936,81358,13345.0,33555.0,48392.0,23670.0,6460.0,2399.0,970.0,365.0,208.0,295.0,23.0,"Jan 13, 2020","Mar 30, 2020",2020-01-13,2020-03-30
38669,Tsukiuta. The Animation 2,6.52,Music,Unknown,ツキウタ. THE ANIMATION 2,TV,13,"Oct 7, 2020 to Dec 30, 2020",Fall 2020,Unknown,Unknown,Children's Playground Entertainment,Music,23 min. per ep.,PG-13 - Teens 13 or older,5810.0,6492,4958,37,618,919,105,246,3070,73.0,60.0,92.0,196.0,179.0,116.0,53.0,28.0,14.0,18.0,23.0,"Oct 7, 2020","Dec 30, 2020",2020-10-07,2020-12-30
38742,Da Li Si Rizhi,6.72,"Action, Mystery, Comedy, Historical, Demons, Martial Arts",White Cat Legend,大理寺日志,ONA,12,"Apr 10, 2020 to Jul 3, 2020",Unknown,bilibili,Unknown,Nice Boat Animation,Web manga,17 min. per ep.,PG-13 - Teens 13 or older,4790.0,8154,2630,6,271,510,72,123,1654,29.0,40.0,93.0,133.0,88.0,50.0,18.0,10.0,5.0,7.0,17.0,"Apr 10, 2020","Jul 3, 2020",2020-04-10,2020-07-03
38790,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,7.59,"Action, Game, Sci-Fi, Adventure, Comedy, Fantasy","BOFURI:I Don't Want to Get Hurt, so I'll Max Out My Defense.",痛いのは嫌なので防御力に極振りしたいと思います。,TV,12,"Jan 8, 2020 to Mar 25, 2020",Winter 2020,"AT-X, MAGES., Docomo Anime Store, Sammy, ABC Animation, Kadokawa Media House, Kadokawa, D-techno",Funimation,SILVER LINK.,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,1319.0,516,278001,1986,29453,182384,6541,11296,48327,13815.0,22336.0,45283.0,41378.0,16806.0,7140.0,2728.0,1099.0,485.0,359.0,23.0,"Jan 8, 2020","Mar 25, 2020",2020-01-08,2020-03-25
38799,Koukaku Kidoutai: SAC_2045,6.69,"Action, Military, Sci-Fi, Police, Mecha, Seinen",Unknown,攻殻機動隊 SAC_2045,ONA,12,"Apr 23, 2020",Unknown,Unknown,Unknown,"Production I.G, Sola Digital Arts",Manga,24 min. per ep.,R - 17+ (violence & profanity),4952.0,3243,25527,44,1172,6587,432,1002,16334,187.0,407.0,1156.0,1771.0,1115.0,538.0,342.0,187.0,109.0,153.0,24.0,"Apr 23, 2020","Apr 23, 2020",2020-04-23,2020-04-23
38830,"Hachi-nan tte, Sore wa Nai deshou!",6.19,"Action, Fantasy",The 8th son? Are you kidding me?,八男って、それはないでしょう！,TV,12,"Apr 2, 2020 to Jun 18, 2020",Spring 2020,"Satelight, Frontier Works, flying DOG, Kadokawa Media House, Exa International, Kadokawa, GREE, arma bianca",Unknown,"SynergySP, Shin-Ei Animation",Light novel,23 min. per ep.,PG-13 - Teens 13 or older,7402.0,1147,129426,317,14656,83960,1760,7884,21166,2303.0,2918.0,7560.0,16974.0,17570.0,11027.0,5545.0,2659.0,1348.0,848.0,23.0,"Apr 2, 2020","Jun 18, 2020",2020-04-02,2020-06-18
38835,Umayon,6.08,"Slice of Life, Comedy, Sports",Unknown,うまよん,TV,12,"Jul 7, 2020 to Sep 22, 2020",Summer 2020,Cygames,Unknown,"W-Toon Studio, DMM.futureworks",4-koma manga,3 min. per ep.,PG-13 - Teens 13 or older,7904.0,4674,11354,5,1247,4984,245,769,4109,144.0,110.0,362.0,973.0,1285.0,863.0,295.0,127.0,69.0,65.0,3.0,"Jul 7, 2020","Sep 22, 2020",2020-07-07,2020-09-22
38843,Shironeko Project: Zero Chronicle,5.3,"Action, Adventure, Magic, Fantasy",Shironeko Project ZERO CHRONICLE,白猫プロジェクトZERO CHRONICLE,TV,12,"Apr 6, 2020 to Jun 22, 2020",Spring 2020,"NBCUniversal Entertainment Japan, COLOPL, Kadokawa, GREE",Funimation,Project No.9,Game,23 min. per ep.,PG-13 - Teens 13 or older,10125.0,2048,58294,195,7575,27339,1172,5311,16897,721.0,736.0,1403.0,3312.0,4867.0,4848.0,3569.0,1921.0,1239.0,1104.0,23.0,"Apr 6, 2020","Jun 22, 2020",2020-04-06,2020-06-22
38883,Haikyuu!!: To the Top,8.39,"Comedy, Sports, Drama, School, Shounen",Unknown,ハイキュー!! TO THE TOP,TV,13,"Jan 11, 2020 to Apr 4, 2020",Winter 2020,"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Unknown,Production I.G,Manga,24 min. per ep.,PG-13 - Teens 13 or older,159.0,276,470208,4058,49196,335260,6523,1992,77237,52280.0,76587.0,89235.0,39556.0,9306.0,2531.0,704.0,218.0,112.0,401.0,24.0,"Jan 11, 2020","Apr 4, 2020",2020-01-11,2020-04-04
38909,Infinite Dendrogram,6.14,"Game, Fantasy",Infinite Dendrogram,<Infinite Dendrogram>-インフィニット・デンドログラム-,TV,13,"Jan 9, 2020 to Apr 16, 2020",Winter 2020,"AT-X, Nippon Columbia, KlockWorx, Hobby Japan, Studio Mausu, Hakuhodo DY Music & Pictures, BS11, Anima&Co.",Funimation,NAZ,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,7619.0,1277,113280,205,15817,53418,3636,13745,26664,1571.0,2072.0,5269.0,11096.0,11890.0,8253.0,4532.0,2103.0,1103.0,688.0,23.0,"Jan 9, 2020","Apr 16, 2020",2020-01-09,2020-04-16
38924,Nekopara,6.76,"Slice of Life, Comedy",NekoparA,ネコぱら,TV,12,"Jan 9, 2020 to Mar 26, 2020",Winter 2020,"Movic, AT-X, KlockWorx, Good Smile Company, Avex Pictures, Avex Technologies",Funimation,Felix Film,Visual novel,23 min. per ep.,PG-13 - Teens 13 or older,4604.0,1293,110004,596,13474,39712,4643,9190,42985,3324.0,2378.0,5607.0,10740.0,8084.0,4620.0,1975.0,1003.0,539.0,560.0,23.0,"Jan 9, 2020","Mar 26, 2020",2020-01-09,2020-03-26
38990,Chuan Shu Zijiu Zhinan,7.83,"Historical, Demons, Supernatural, Drama",Scumbag System,穿书自救指南,ONA,10,"Sep 10, 2020 to Oct 1, 2020",Unknown,"Tencent Penguin Pictures, iQIYI",Unknown,Djinn Power,Novel,20 min. per ep.,R - 17+ (violence & profanity),767.0,5893,6363,208,890,2925,69,116,2363,448.0,430.0,730.0,625.0,212.0,63.0,26.0,9.0,8.0,14.0,20.0,"Sep 10, 2020","Oct 1, 2020",2020-09-10,2020-10-01
38992,Rikei ga Koi ni Ochita no de Shoumei shitemita.,7.35,"Comedy, Romance","Science Fell in Love, So I Tried to Prove It",理系が恋に落ちたので証明してみた。,ONA,12,"Jan 11, 2020",Unknown,"Flex Comix, Hokkaido Cultural Broadcasting, BS11, Yomiuri TV Enterprise, Kanetsu Investment, Toyo Recording, ibis Capital Partners, Y&N Brothers, Supa Love",Unknown,Zero-G,Web manga,23 min. per ep.,PG-13 - Teens 13 or older,2097.0,877,170554,601,20639,78378,6656,9952,54929,4157.0,7686.0,19321.0,22965.0,10050.0,4088.0,1439.0,540.0,219.0,157.0,23.0,"Jan 11, 2020","Jan 11, 2020",2020-01-11,2020-01-11
39017,Kyokou Suiri,6.96,"Mystery, Demons, Supernatural, Romance, Shounen",In/Spectre,虚構推理,TV,12,"Jan 12, 2020 to Mar 29, 2020",Winter 2020,"Nihon Ad Systems, Kodansha, KlockWorx, Docomo Anime Store, King Records, GYAO!, BS NTV, Crunchyroll SC Anime Fund, Marui Group",Unknown,Brain's Base,Manga,24 min. per ep.,R - 17+ (violence & profanity),3778.0,552,262705,923,33896,130014,9232,16318,73245,4340.0,8848.0,25280.0,39422.0,21993.0,9827.0,3948.0,1232.0,490.0,311.0,24.0,"Jan 12, 2020","Mar 29, 2020",2020-01-12,2020-03-29
39023,Qin Shi Ming Yue: Canghai Hengliu,,"Action, Historical, Martial Arts, Fantasy",The Legend of Qin VI,秦时明月之沧海横流,ONA,Unknown,"Oct 8, 2020 to ?",Unknown,Unknown,Unknown,Sparkly Key Animation Studio,Novel,20 min.,PG-13 - Teens 13 or older,11671.0,10797,866,2,82,0,11,42,731,8.0,2.0,6.0,6.0,3.0,1.0,1.0,1.0,2.0,2.0,20.0,"Oct 8, 2020",,2020-10-08,
39049,Jashin-chan Dropkick',7.42,"Comedy, Supernatural",Dropkick on My Devil!! Dash,邪神ちゃんドロップキック'（ダッシュ）,ONA,11,"Apr 6, 2020",Unknown,"BookLive, ibis Capital Partners, Global Solutions",Unknown,Nomad,Web manga,23 min. per ep.,PG-13 - Teens 13 or older,1843.0,3306,24514,64,1755,12263,561,506,9429,710.0,988.0,2691.0,3261.0,1228.0,461.0,138.0,42.0,11.0,25.0,23.0,"Apr 6, 2020","Apr 6, 2020",2020-04-06,2020-04-06
39184,A3! Season Spring & Summer,7.14,"Slice of Life, Drama",A3! Season Spring & Summer,A3! SEASON SPRING & SUMMER,TV,12,"Jan 14, 2020 to Jun 23, 2020",Winter 2020,"Pony Canyon, Liber Entertainment",Funimation,"P.A. Works, Studio 3Hz",Game,23 min. per ep.,PG-13 - Teens 13 or older,3010.0,3660,20153,222,2621,5880,951,1452,9249,528.0,594.0,1058.0,1603.0,915.0,577.0,225.0,116.0,69.0,47.0,23.0,"Jan 14, 2020","Jun 23, 2020",2020-01-14,2020-06-23
